ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom
 1  3  2 16  5,0.187797,105.3019765,7490.12,16410.4,35.22574,35.84054,0.75364,168,84,12,12,0,0,0,133,0.79,0.09,0.28
 1  3  2 16  6,0.185974,105.3513728,7540.65,16435.2,35.23405,35.84224,0.75478,168,84,24,0,0,0,0,139,0.83,0.09,0.26
 1  3  2 16  7,0.186896,104.81577,7633.13,16342.4,34.05065,34.84518,0.75052,168,96,24,0,0,0,0,133,0.79,0.08,0.25
 1  3  2 16  8,0.214333,108.6594238,6872.18,16132.5,33.20954,34.00255,0.74088,168,72,24,24,0,0,0,145,0.86,0.17,0.54
 1  3  2 16  9,0.184147,107.9516619,7707.84,16363.8,35.23405,35.91145,0.7515,180,84,12,0,0,0,0,145,0.81,0.04,0.13
 1  3  2 17  0,0.219108,116.756531,6457.27,16550.5,36.53015,37.05674,0.72132,228,120,12,0,0,0,0,175,0.77,0.03,0.1
 1  3  2 17  1,0.234731,113.6229897,6008.76,16500.5,36.53015,37.05629,0.71914,228,108,12,0,12,0,0,175,0.77,0.07,0.23
 1  3  2 17  2,0.249022,118.741515,5654.01,16433,36.53015,36.92809,0.7162,228,108,12,0,0,12,0,175,0.77,0.07,0.2
 1  3  2 17  3,0.287625,96.5737528,4890.07,16400.4,36.53015,36.81651,0.71478,228,108,12,0,0,0,12,175,0.77,0.07,0.19
 1  3  2 17  4,0.232127,118.6127404,6075.37,16488.1,36.53015,37.05629,0.7186,228,108,12,12,0,0,0,181,0.79,0.07,0.22
 1  3  2 17  5,0.233002,118.6728722,6048.66,16450,36.52229,37.02619,0.71694,228,120,12,12,0,0,0,175,0.77,0.06,0.21
 1  3  2 17  6,0.231272,117.8282088,6084.88,16481.2,36.53015,37.09392,0.7183,228,120,24,0,0,0,0,181,0.79,0.06,0.19
 1  3  2 17  7,0.232148,121.0470891,6177.39,16394,35.91812,36.54017,0.7145,228,132,24,0,0,0,0,175,0.77,0.06,0.19
 1  3  2 17  8,0.258186,120.2087546,5586,16251.7,35.07168,36.01222,0.7083,228,108,24,24,0,0,0,187,0.82,0.12,0.41
 1  3  2 17  9,0.229539,117.5356664,6125.87,16454.1,36.53015,37.0067,0.71712,240,120,12,0,0,0,0,187,0.78,0.03,0.1
 1  3  2 19  0,0.278457,135.0739908,6402.11,9672.92,25.16579,26.18232,0.65532,180,144,12,0,0,0,0,115,0.64,0.04,0.11
 1  3  2 19  1,0.302743,128.5829654,5928.79,9596.46,24.41575,25.49644,0.65014,180,132,12,0,12,0,0,115,0.64,0.07,0.25
 1  3  2 19  2,0.324957,137.8220967,5573.85,9507.89,23.86356,24.94598,0.64414,180,132,12,0,0,12,0,115,0.64,0.07,0.21
 1  3  2 19  3,0.384965,109.7968713,4728.72,9466.56,23.66642,24.74948,0.64134,180,132,12,0,0,0,12,115,0.64,0.07,0.21
 1  3  2 19  4,0.298695,136.16302,6019.62,9584.65,24.31712,25.39811,0.64934,180,132,12,12,0,0,0,121,0.67,0.07,0.23
 1  3  2 19  5,0.300055,137.3571098,6084.8,9547.75,25.51664,26.31629,0.64684,180,144,12,12,0,0,0,115,0.64,0.07,0.22
 1  3  2 19  6,0.297366,132.0078664,6143.49,9515.86,25.09624,26.35724,0.64468,180,144,24,0,0,0,0,121,0.67,0.07,0.21
 1  3  2 19  7,0.298727,135.286087,6127.67,9480.73,25.34937,26.37751,0.6423,180,156,24,0,0,0,0,115,0.64,0.07,0.2
