ID,density,gas_v_stp_v,surface,volum_access,PLD,LCD,valfraction,C,H,N,O,F,Cl,Br,total_unsaturation,per_c_unsaturation,electric_atom_to_total,weighted_electric_per_atom,gas_sorption,gas_desorption,gas_desor_vstpv,gas_sor_vstpv
 0  1  1 11  4,0.409612,131.434328,5783.42,2252.17,15.09053,17.21244,0.56416,36,24,24,12,0,0,0,37,1.03,0.38,1.19,17.32684197,2.986163122,27.36860281,158.8029309
 0  1  1 11  5,0.414643,133.4428879,5568.32,2230.86,15.0896,16.6299,0.55882,36,36,24,12,0,0,0,31,0.86,0.33,1.06,18.06436085,3.681189101,34.15300277,167.5958907
 0  1  1 11  6,0.4047,137.9442087,5771.07,2224.31,15.08893,17.04299,0.55718,36,36,36,0,0,0,0,37,1.03,0.33,1,18.7036397,3.469994375,31.42160776,169.3658164
 0  1  1 11  7,0.409732,138.2469523,5740.1,2180.08,14.67981,16.10603,0.5461,36,48,36,0,0,0,0,31,0.86,0.3,0.9,19.06559048,3.986010178,36.54304349,174.7899957
 0  1  1 11  8,0.559387,130.6688025,4332.76,2009.54,13.8437,15.60811,0.50338,36,24,36,24,0,0,0,43,1.19,0.5,1.6,13.47279559,3.032973108,37.96184895,168.6306515
 0  1  1 11  9,0.394737,134.1934346,6072.6,2162.67,15.09,16.76136,0.54174,48,36,24,0,0,0,0,43,0.9,0.22,0.67,18.89673481,3.70326369,32.70836993,166.9018046
 0  1  1 12  0,0.270298,136.5960534,7720.25,2500.31,15.07203,17.33569,0.62724,36,48,12,0,0,0,0,19,0.53,0.12,0.38,27.05791208,4.472454604,27.04924834,163.6453018
 0  1  1 12  1,0.360227,131.9996274,6023.69,2417.48,15.0718,17.30455,0.60646,36,36,12,0,12,0,0,19,0.53,0.25,0.88,19.40199504,3.025158425,24.38320625,156.3828337
 0  1  1 12  2,0.442483,134.145769,5102.16,2315.99,15.07414,16.9607,0.581,36,36,12,0,0,12,0,19,0.53,0.25,0.75,16.60603595,3.056826341,30.26451962,164.4102886
 0  1  1 12  3,0.664687,89.138038,3451.21,2270.07,15.07415,16.8331,0.56948,36,36,12,0,0,0,12,19,0.53,0.25,0.72,7.320521266,1.32703578,19.73632306,108.8743611
 0  1  1 12  4,0.345235,141.7846436,6334.83,2400.18,15.07178,17.24146,0.60212,36,36,12,12,0,0,0,25,0.69,0.25,0.81,21.86221831,3.507490441,27.09428795,168.8789316
 0  1  1 12  5,0.350274,145.3023059,6485.87,2352.1,15.06951,16.13604,0.59006,36,48,12,12,0,0,0,19,0.53,0.22,0.72,22.83253765,4.293030851,33.64637951,178.9486853
 0  1  1 12  6,0.340317,134.6431627,6737.46,2342.86,15.0728,17.10321,0.58774,36,48,24,0,0,0,0,25,0.69,0.22,0.67,21.71062701,4.028511136,30.6757112,165.3188738
 0  1  1 12  7,0.345355,148.0466029,6747.57,2295.98,14.27005,15.57307,0.57598,36,60,24,0,0,0,0,19,0.53,0.2,0.6,23.6594934,4.500783091,34.77925374,182.8258567
 0  1  1 12  8,0.495231,138.3668234,5042.84,2109.58,13.42077,14.74897,0.52922,36,36,24,24,0,0,0,31,0.86,0.4,1.3,15.96292194,3.475933193,38.51639847,176.8832219
 0  1  1 12  9,0.330339,145.5231924,6977.55,2304.67,15.073,16.93916,0.57816,48,48,12,0,0,0,0,31,0.65,0.11,0.33,24.32894742,4.640750898,34.30161238,179.8248047
 0  1  1 13  0,0.227728,127.2009663,8289.82,3186.48,17.00618,19.15446,0.67348,36,48,12,0,0,0,0,19,0.53,0.12,0.38,28.75987413,3.796254838,19.34364077,146.5446071
 0  1  1 13  1,0.303494,118.6651841,6468.3,3088.45,17.00687,19.15446,0.65276,36,36,12,0,12,0,0,19,0.53,0.25,0.88,20.14110076,2.666519406,18.10761642,136.7728005
 0  1  1 13  2,0.372795,122.3052237,5524.48,2975.84,17.00687,18.70914,0.62896,36,36,12,0,0,12,0,19,0.53,0.25,0.75,17.39694247,2.734426458,22.80881666,145.1140403
 0  1  1 13  3,0.560004,79.01077662,3736.4,2924.08,17.00626,18.51045,0.61802,36,36,12,0,0,0,12,19,0.53,0.25,0.72,7.572236744,1.266602534,15.87076677,94.88154339
 0  1  1 13  4,0.290864,125.8542223,6802.11,3072.17,17.00667,19.12638,0.64932,36,36,12,12,0,0,0,25,0.69,0.25,0.81,22.83228539,3.494292763,22.74132102,148.5955434
 0  1  1 13  5,0.295109,126.3980108,6887.7,3044.54,17.00505,18.84253,0.64348,36,48,12,12,0,0,0,19,0.53,0.22,0.72,23.06563802,3.923459735,25.9070571,152.3050679
 0  1  1 13  6,0.286719,126.950801,7148.52,3036.59,17.00609,19.03567,0.6418,36,48,24,0,0,0,0,25,0.69,0.22,0.67,23.54524599,3.756761068,24.10107841,151.0518794
 0  1  1 13  7,0.290965,132.2225795,7152.35,2980.19,15.84169,17.6403,0.62988,36,60,24,0,0,0,0,19,0.53,0.2,0.6,24.34855801,4.039094722,26.29609239,158.5186719
 0  1  1 13  8,0.417236,125.9201483,5395.84,2790.09,15.01141,16.79211,0.5897,36,36,24,24,0,0,0,31,0.86,0.4,1.3,17.01922374,3.531240255,32.96669937,158.8868477
 0  1  1 13  9,0.278313,131.1465379,7465.76,2981.52,17.00687,18.80485,0.63016,48,48,12,0,0,0,0,31,0.65,0.11,0.33,25.5055291,4.445599756,27.68409179,158.8306297
